state,incidentType,declarationType,declaration_year,declaration_month,declaration_quarter,declaration_lag_days,incident_open_flag,state_disaster_frequency,target_pa_cost,target_total_recovery_cost,log_target_pa_cost,log_target_total_cost
OR,Fire,FM,2024,8,3,1,1,294,0.0,0.0,0.0,0.0
OR,Fire,FM,2024,8,3,2,1,294,0.0,0.0,0.0,0.0
OR,Fire,FM,2024,8,3,0,1,294,0.0,0.0,0.0,0.0
CA,Severe Storm,DR,2017,5,2,83,0,739,269934.77,271584.77,12.505939320791573,12.512033280068774
AL,Severe Storm,DR,2016,1,1,29,0,743,36201886.24,41732369.07,17.404621809138742,17.546787646306008
AL,Severe Storm,DR,2016,1,1,29,0,743,36201886.24,41732369.07,17.404621809138742,17.546787646306008
AL,Severe Storm,DR,2016,1,1,29,0,743,36201886.24,41732369.07,17.404621809138742,17.546787646306008
AL,Severe Storm,DR,2016,1,1,29,0,743,36201886.24,41732369.07,17.404621809138742,17.546787646306008
AL,Severe Storm,DR,2016,1,1,29,0,743,36201886.24,41732369.07,17.404621809138742,17.546787646306008
OR,Fire,FM,2024,7,3,1,1,294,0.0,0.0,0.0,0.0
OR,Fire,FM,2024,7,3,1,1,294,0.0,0.0,0.0,0.0
OR,Fire,FM,2024,7,3,0,1,294,0.0,0.0,0.0,0.0
OR,Fire,FM,2024,7,3,0,1,294,0.0,0.0,0.0,0.0
OR,Fire,FM,2024,7,3,0,1,294,0.0,0.0,0.0,0.0
OR,Fire,FM,2024,7,3,1,1,294,0.0,0.0,0.0,0.0
OR,Fire,FM,2024,7,3,0,1,294,0.0,0.0,0.0,0.0
OR,Fire,FM,2024,7,3,0,1,294,0.0,0.0,0.0,0.0
OR,Fire,FM,2024,7,3,1,1,294,0.0,0.0,0.0,0.0
OR,Fire,FM,2024,7,3,1,1,294,0.0,0.0,0.0,0.0
OR,Fire,FM,2024,7,3,1,1,294,0.0,0.0,0.0,0.0
MT,Fire,FM,2024,7,3,3,1,350,0.0,0.0,0.0,0.0
MT,Fire,FM,2024,7,3,3,1,350,0.0,0.0,0.0,0.0
OR,Fire,FM,2024,7,3,1,1,294,0.0,0.0,0.0,0.0
AL,Severe Storm,DR,2016,1,1,29,0,743,36201886.24,41732369.07,17.404621809138742,17.546787646306008
AL,Severe Storm,DR,2016,1,1,29,0,743,36201886.24,41732369.07,17.404621809138742,17.546787646306008
AL,Severe Storm,DR,2016,1,1,29,0,743,36201886.24,41732369.07,17.404621809138742,17.546787646306008
OR,Fire,FM,2024,6,2,0,1,294,0.0,529510.99,0.0,13.179711087771004
AL,Severe Storm,DR,2016,1,1,29,0,743,36201886.24,41732369.07,17.404621809138742,17.546787646306008
NM,Fire,FM,2024,5,2,10,1,313,0.0,43908.05,0.0,10.689875728158887
OK,Fire,FM,2024,4,2,0,0,1245,190650.96,190650.96,12.1582048458518,12.1582048458518
OK,Fire,FM,2024,2,1,0,0,1245,812034.31,812034.31,13.607299103420035,13.607299103420035
TX,Fire,FM,2024,2,1,0,0,2052,696827.93,696827.93,13.454295222028257,13.454295222028257
TX,Fire,FM,2024,2,1,0,0,2052,696827.93,696827.93,13.454295222028257,13.454295222028257
TX,Fire,FM,2024,2,1,0,0,2052,696827.93,696827.93,13.454295222028257,13.454295222028257
TX,Fire,FM,2024,2,1,0,0,2052,201333.88,694458.8400000001,12.21272487033854,13.450889613730624
LA,Fire,FM,2023,8,3,0,0,1512,3557101.83,3557101.83,15.08445695970587,15.08445695970587
LA,Fire,FM,2023,8,3,0,0,1512,3557101.83,3557101.83,15.08445695970587,15.08445695970587
LA,Fire,FM,2023,8,3,1,0,1512,1186914.3,1186914.3,13.986868314685246,13.986868314685246
LA,Fire,FM,2023,8,3,0,0,1512,814214.45,814214.45,13.609980290552631,13.609980290552631
LA,Fire,FM,2023,8,3,0,0,1512,23449690.72,23925000.419999998,16.970367906501494,16.990434554655433
WA,Fire,FM,2023,8,3,0,1,453,0.0,0.0,0.0,0.0
MT,Fire,FM,2023,8,3,1,0,350,0.0,0.0,0.0,0.0
WA,Fire,FM,2023,8,3,0,1,453,0.0,0.0,0.0,0.0
HI,Fire,FM,2023,8,3,1,1,53,0.0,0.0,0.0,0.0
HI,Fire,FM,2023,8,3,0,1,53,0.0,0.0,0.0,0.0
HI,Fire,FM,2023,8,3,0,1,53,0.0,0.0,0.0,0.0
HI,Fire,FM,2023,8,3,0,1,53,0.0,0.0,0.0,0.0
HI,Fire,FM,2023,8,3,0,1,53,0.0,122494.46,0.0,11.715829247055645
WA,Fire,FM,2023,7,3,1,1,453,0.0,0.0,0.0,0.0
WA,Fire,FM,2023,7,3,2,1,453,0.0,0.0,0.0,0.0
WA,Fire,FM,2023,7,3,1,1,453,0.0,0.0,0.0,0.0
WA,Fire,FM,2023,7,3,1,1,453,0.0,0.0,0.0,0.0
WA,Fire,FM,2023,7,3,1,1,453,0.0,0.0,0.0,0.0
AZ,Fire,FM,2023,6,2,1,0,152,626441.06,953332.16,13.347811566998436,13.767719712309727
NM,Fire,FM,2023,5,2,0,0,313,0.0,0.0,0.0,0.0
NM,Fire,FM,2023,5,2,0,0,313,0.0,0.0,0.0,0.0
RI,Fire,FM,2023,4,2,0,0,74,300735.0,300735.0,12.613988082462487,12.613988082462487
KS,Fire,FM,2023,4,2,0,0,916,247922.91,778894.78,12.420877163553786,13.565632528996328
NE,Fire,FM,2023,4,2,1,0,812,0.0,0.0,0.0,0.0
NM,Fire,FM,2023,4,2,0,0,313,0.0,1918664.58,0.0,14.467140491955593
OK,Fire,FM,2023,3,1,0,0,1245,208241.86,208241.86,12.246460273727035,12.246460273727035
OK,Fire,FM,2023,3,1,0,0,1245,0.0,0.0,0.0,0.0
OK,Fire,FM,2023,3,1,0,0,1245,508829.64,1125976.9500000002,13.139870509320676,13.934162504896781
OR,Fire,FM,2023,1,1,140,0,294,1027118.33,1845552.76,13.842268674955383,14.428289931344898
WA,Fire,FM,2022,10,4,1,0,453,0.0,4792739.84,0.0,15.382613006160398
WA,Fire,FM,2022,10,4,1,0,453,0.0,4792739.84,0.0,15.382613006160398
WA,Fire,FM,2022,9,3,0,0,453,3024.47,3024.47,8.014821730296804,8.014821730296804
WA,Fire,FM,2022,9,3,0,0,453,3024.47,3024.47,8.014821730296804,8.014821730296804
OR,Fire,FM,2022,9,3,0,0,294,173823.56,173823.56,12.065801793682553,12.065801793682553
CA,Fire,FM,2022,9,3,0,0,739,31780017.55,31780017.55,17.274348302773113,17.274348302773113
CA,Fire,FM,2022,9,3,0,0,739,31780017.55,31780017.55,17.274348302773113,17.274348302773113
ID,Fire,FM,2022,9,3,0,0,180,287382.69,287382.69,12.568573500842737,12.568573500842737
CA,Fire,FM,2022,9,3,1,0,739,23815278.46,23815278.46,16.985837926769285,16.985837926769285
CA,Fire,FM,2022,9,3,0,0,739,8512204.78,8512204.78,15.9570116655533,15.9570116655533
