disasterNumber,state,incidentType,declarationDate,incidentBeginDate,incidentEndDate,declarationType
5529,OR,Fire,2024-08-09T00:00:00.000Z,2024-08-08T00:00:00.000Z,,FM
5528,OR,Fire,2024-08-06T00:00:00.000Z,2024-08-04T00:00:00.000Z,,FM
5527,OR,Fire,2024-08-02T00:00:00.000Z,2024-08-02T00:00:00.000Z,,FM
4312,CA,Severe Storm,2017-05-02T00:00:00.000Z,2017-02-08T00:00:00.000Z,2017-02-11T00:00:00.000Z,DR
4251,AL,Severe Storm,2016-01-21T00:00:00.000Z,2015-12-23T00:00:00.000Z,2015-12-31T00:00:00.000Z,DR
4251,AL,Severe Storm,2016-01-21T00:00:00.000Z,2015-12-23T00:00:00.000Z,2015-12-31T00:00:00.000Z,DR
4251,AL,Severe Storm,2016-01-21T00:00:00.000Z,2015-12-23T00:00:00.000Z,2015-12-31T00:00:00.000Z,DR
4251,AL,Severe Storm,2016-01-21T00:00:00.000Z,2015-12-23T00:00:00.000Z,2015-12-31T00:00:00.000Z,DR
4251,AL,Severe Storm,2016-01-21T00:00:00.000Z,2015-12-23T00:00:00.000Z,2015-12-31T00:00:00.000Z,DR
5516,OR,Fire,2024-07-22T00:00:00.000Z,2024-07-21T00:00:00.000Z,,FM
5516,OR,Fire,2024-07-22T00:00:00.000Z,2024-07-21T00:00:00.000Z,,FM
5514,OR,Fire,2024-07-21T00:00:00.000Z,2024-07-21T00:00:00.000Z,,FM
5514,OR,Fire,2024-07-21T00:00:00.000Z,2024-07-21T00:00:00.000Z,,FM
5514,OR,Fire,2024-07-21T00:00:00.000Z,2024-07-21T00:00:00.000Z,,FM
5513,OR,Fire,2024-07-21T00:00:00.000Z,2024-07-20T00:00:00.000Z,,FM
5512,OR,Fire,2024-07-18T00:00:00.000Z,2024-07-18T00:00:00.000Z,,FM
5512,OR,Fire,2024-07-18T00:00:00.000Z,2024-07-18T00:00:00.000Z,,FM
5511,OR,Fire,2024-07-18T00:00:00.000Z,2024-07-17T00:00:00.000Z,,FM
5511,OR,Fire,2024-07-18T00:00:00.000Z,2024-07-17T00:00:00.000Z,,FM
5511,OR,Fire,2024-07-18T00:00:00.000Z,2024-07-17T00:00:00.000Z,,FM
5507,MT,Fire,2024-07-12T00:00:00.000Z,2024-07-09T00:00:00.000Z,,FM
5507,MT,Fire,2024-07-12T00:00:00.000Z,2024-07-09T00:00:00.000Z,,FM
5506,OR,Fire,2024-07-11T00:00:00.000Z,2024-07-10T00:00:00.000Z,,FM
4251,AL,Severe Storm,2016-01-21T00:00:00.000Z,2015-12-23T00:00:00.000Z,2015-12-31T00:00:00.000Z,DR
4251,AL,Severe Storm,2016-01-21T00:00:00.000Z,2015-12-23T00:00:00.000Z,2015-12-31T00:00:00.000Z,DR
4251,AL,Severe Storm,2016-01-21T00:00:00.000Z,2015-12-23T00:00:00.000Z,2015-12-31T00:00:00.000Z,DR
5500,OR,Fire,2024-06-25T00:00:00.000Z,2024-06-25T00:00:00.000Z,,FM
4251,AL,Severe Storm,2016-01-21T00:00:00.000Z,2015-12-23T00:00:00.000Z,2015-12-31T00:00:00.000Z,DR
5492,NM,Fire,2024-05-26T00:00:00.000Z,2024-05-16T00:00:00.000Z,,FM
5491,OK,Fire,2024-04-06T00:00:00.000Z,2024-04-06T00:00:00.000Z,2024-04-12T00:00:00.000Z,FM
5489,OK,Fire,2024-02-27T00:00:00.000Z,2024-02-27T00:00:00.000Z,2024-03-20T00:00:00.000Z,FM
5488,TX,Fire,2024-02-27T00:00:00.000Z,2024-02-27T00:00:00.000Z,2024-03-16T00:00:00.000Z,FM
5488,TX,Fire,2024-02-27T00:00:00.000Z,2024-02-27T00:00:00.000Z,2024-03-16T00:00:00.000Z,FM
