disasterNumber,totalAmountIhpApproved,totalAmountHaApproved,totalAmountOnaApproved,totalObligatedAmountPa,totalObligatedAmountHmgp
3601,,,,,
3602,,,,,
4420,27279186.25,24356998.74,2922187.51,529752851.58,38905824.97
1971,77097372.06,57302364.2,19795007.86,201042382.97,63346282.14
4015,,,,5553128.41,1762074.09
5463,,,,247922.91,530971.87
4645,,,,35372030.64,807500.19
4045,,,,5135398.21,720204
5492,,,,,43908.05
4212,,,,8736490.43,269876.97
4056,,,,30413928.56,5794419.14
5384,,,,,885821.04
1925,10602928.54,9705873.5,897055.04,5930565.92,2821027.04
5614,,,,,0
2956,,,,586405.18,0
4185,,,,3837595.3,213400
5284,,,,264039.14,348002.3
5456,,,,,4792739.84
3340,,,,495306.49,
5380,,,,13195694.92,3908293.99
3626,,,,,
4415,,,,6453697.9,1109704.19
1945,,,,2138551.99,14946
5470,,,,,0
4274,,,,4693118.02,680649.32
1986,,,,5934923.13,487940
2951,,,,419338.96,0
4156,,,,2670513.58,370314
4067,,,,4046793.01,475368.08
5460,,,,208241.86,0
5494,,,,,224898.88
5246,,,,16270482.58,0
2979,,,,3726826.58,0
5249,,,,2349031.77,0
4437,,,,971158.24,139036.79
5335,,,,1240045.95,0
5499,,,,,2773537.72
4316,,,,1676798.53,176414.25
5314,,,,460929.86,0
2997,,,,51448.94,0
5198,,,,7541832.83,0
5017,,,,684418.07,0
4369,,,,3908163.56,12202.57
5421,,,,195815.29,777501
2880,,,,124694.11,0
5391,,,,6902643.83,0
2973,,,,785047.27,0
3518,,,,39353.18,
5190,,,,76945.83,0
5230,,,,3811.3,0
4445,,,,8969123.63,952580.2
4534,10616929.18,,10616929.18,211485435.58,1466076.04
5467,,,,,0
5468,,,,,0
4000,1754570.75,1421006.46,333564.29,2663059.78,68035
5382,,,,,2067208.75
1875,,,,24581512.14,3397069
1919,,,,4712458.08,434136
4130,,,,9033804.83,1827581
1922,,,,12373472.43,3963820.89
4531,37357961.48,,37357961.48,564947445.92,15288527.33
4236,,,,7743787.17,723711.22
4138,,,,40512583.94,7536022.06
4387,,,,2577582.63,36485.29
4140,,,,6182973.09,54218.73
4637,1308764.73,1093254.76,215509.97,19055469.18,789440.6
4275,,,,3045115.45,71192.17
4252,,,,18305095.51,1707464.47
1958,,,,13744126.49,2168421
5610,,,,,0
5388,,,,2746912.41,1462807.64
5278,,,,,1857307.56
4652,7656347.59,6398858.5,1257489.09,303675088.18,28173636.63
4898,,,,,0
4448,,,,971209.44,0
5451,,,,23815278.46,0
4115,,,,8231034.73,1175629
5286,,,,4320193.28,180208.1
5283,,,,186238.57,1868044.54
5266,,,,36010.87,0
5038,,,,6824731.93,0
2848,,,,675577.69,0
5578,,,,,0
4172,,,,1925935.2,192278.26
4446,,,,1088251.32,0
5541,,,,,0
2843,,,,55983.46,0
2867,,,,703954.92,0
3616,,,,,
3617,,,,,
1929,,,,666648.61,112780
5408,,,,2259027.05,0
2929,,,,431159.39,0
2905,,,,5806.02,0
4834,882125147.42,398042952.95,484082194.47,1451889591.22,42597742.05
2852,,,,1238001.83,0
5490,,,,,35851.87
3622,,,,,
5545,,,,,0
5574,,,,,0
5418,,,,,1024091.26
3611,,,,,
3613,,,,,
5546,,,,,0
2982,,,,24924.14,0
5236,,,,2133667.29,0
5572,,,,,0
1907,,,,19679317.4,58901
4261,,,,69267697.55,11250426.83
4359,,,,34019803.08,3078571.45
4141,,,,5934364.43,936757
4543,,,,13644804.5,2564870.59
4005,,,,6940346.02,812698.37
4579,,,,15898362.56,2025001.71
3498,,,,1633697.62,
4335,40826320.17,29559255.81,11267064.36,66622069.6,28777076.92
4048,,,,26411715.75,3508702.24
4033,,,,7037295.1,617221
4181,,,,5532167.98,861379
4729,,,,20898992.89,0
5002,,,,128885.39,0
4160,,,,5501202.69,795042.57
4388,,,,1859316.92,53783.5
1913,,,,2489369.98,402888
3490,,,,7152.97,
5573,,,,,0
3610,,,,,
4232,,,,1326573.48,141656.7
4545,,,,1809645.12,0
3328,,,,1313887.82,
4687,,,,819070.62,8600
5308,,,,417300.63,0
5130,,,,1727016.64,0
4321,,,,2727443.3,104243.3
2933,,,,1651694.38,0
2894,,,,46051.71,0
5143,,,,637395.06,0
5058,,,,836129.26,0
5255,,,,1411540.89,0
5179,,,,81038.27,0
5203,,,,5560247.76,0
5004,,,,5285123.42,0
5028,,,,1249472.02,0
5288,,,,2658681.22,486443.35
5092,,,,14620253.01,459594
5254,,,,9258.91,0
5030,,,,3725524.98,0
5097,,,,3214693.54,39142.24
5523,,,,,0
5571,,,,,0
5369,,,,54110.05,0
2984,,,,5679187.27,0
4674,,,,11279745.37,809061.48
5521,,,,,0
5603,,,,,0
5604,,,,,0
5605,,,,,0
4521,16740406.16,,16740406.16,295436193.24,5553102.99
4438,15558122.79,13329465.45,2228657.34,69217834.39,9820374.67
1892,,,,6841093.22,894520
4238,,,,50780811.67,10203784.95
5510,,,,,154710.25
4092,,,,10459122.12,1555721.32
4193,11373532.86,10367500.6,1006032.26,26303833.21,3636564
1932,,,,7384786.3,990370
4063,,,,4883032.82,726334
4117,15130900.23,10414680.88,4716219.35,55032768.45,9193060.93
5582,,,,,0
3615,,,,,
5580,,,,,0
5607,,,,,0
3609,,,,,
5518,,,,,0
5386,,,,,101145.63
3624,,,,,
4002,,,,32964612.36,4510495
4126,,,,20524115.81,2747619
4635,7529754.72,6680204.6,849550.12,61629203.2,10651368.79
4281,,,,5398418.52,1123574.5
2917,,,,515274.49,0
4256,,,,49143878.08,8619410.99
5423,,,,,187359.83
4282,,,,4786876.55,580615.77
2960,,,,237059.79,0
5070,,,,9800754.63,0
1937,,,,3950567.97,537972
4471,,,,13792018.83,277185.14
5302,,,,6870054.38,0
4076,,,,8488330.16,1577249
3366,,,,1639099.39,
1908,1549737.37,1271585.7,278151.67,7358685.38,931412
